Geometry,x,y,color,fill,group,size,linetype,shape,alpha
bar,,,,,,,,,
boxplot,,,,,,,,,
density,,,,,,,,,
errorbar,,,,,,,,,
errorbarh,,,,,,,,,
histogram,,,,,,,,,
line,,,,,,,,,
path,,,,,,,,,
point,,,,,,,,,
rug,,,,,,,,,
segment,,,,,,,,,
smooth,,,,,,,,,
text,,,,,,,,,
